B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S;Fv
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1
-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;1;1;0
0;0;0;0;0;0;0;0;0;0;1;-1;0
-1;-1;1;1;-1;-1;1;-1;1;-1;0;0;0
0;0;-1;1;0;0;1;0;-1;0;0;0;0
0;0;0;1;0;0;-1;0;0;0;0;0;0
0;0;1;0;0;0;0;0;-1;0;0;0;0
1;-1;0;0;-1;-1;0;-1;0;-1;0;0;0
0;-1;0;0;-1;-1;0;1;0;1;0;0;0
0;0;0;0;0;0;0;1;0;-1;0;0;0
0;-1;0;0;1;-1;0;0;0;0;0;0;0
0;1;0;0;0;-1;0;0;0;0;0;0;0
