Annee;Site;Type;Dose;Répétition;Rendement;B;Ca;Cu;Fe;K;Mg;Mn;P;Zn;N;C;S
2014;10;N;60;1;45.99;68.4793;7020.116;2.802;203.961;5591.417;1618.574;197.262;815.044;10.534;10857.00;515480.00;765.20
2014;10;N;60;2;38.2;66.6703;7823.952;2.851;193.382;5067.080;1790.268;226.038;816.957;13.756;10395.00;513450.00;762.80
2014;10;P;0;1;40.11;65.6256;7308.350;2.368;111.294;4799.753;1559.079;161.947;695.055;13.904;9166.50;517190.00;591.70
2014;10;P;0;2;36.24;65.9886;6972.702;2.425;135.775;5524.697;1607.976;174.773;815.224;11.188;9922.80;511650.00;1001.50
2014;10;P;15;1;42.01;70.8416;7376.498;2.616;119.090;5115.228;1806.065;164.066;808.683;13.956;9475.10;518550.00;592.50
2014;10;P;15;2;41.71;82.7850;7096.933;1.958;130.316;4904.075;1752.864;167.022;759.758;11.200;10416.00;504440.00;909.70
2014;10;P;30;1;43.62;71.3534;7226.187;2.561;96.531;5121.097;1644.563;190.292;859.093;20.467;9926.50;513250.00;649.40
2014;10;P;30;2;40.57;65.1203;7850.716;2.845;105.706;5516.701;1690.209;184.760;886.564;17.198;9591.80;510880.00;590.00
2014;10;K;0;1;47.47;63.2380;7240.384;2.289;154.131;4215.959;1667.490;182.630;688.555;17.122;8359.00;511680.00;522.50
2014;10;K;0;2;29.98;71.0150;7724.781;2.449;131.687;4553.708;1949.009;188.164;826.924;28.238;9901.90;518970.00;460.30
2014;10;K;40;1;48.06;78.2334;7586.255;2.277;79.804;5483.147;1881.810;154.551;841.548;15.821;9748.00;506760.00;700.90
2014;10;K;40;2;28.39;62.4640;8512.713;3.704;99.882;5342.355;1976.687;165.402;989.333;11.783;10201.00;519650.00;644.60
2014;10;K;80;1;54.88;72.1914;7609.812;2.665;130.879;4895.866;1746.811;142.505;755.262;29.861;9071.80;519850.00;389.70
2014;10;K;80;2;34;60.1213;7390.133;2.337;95.986;5263.027;1585.763;159.582;790.012;9.965;9624.00;509080.00;484.10
2014;10;K;120;1;47.73;70.3949;7801.606;2.858;143.767;5241.976;1858.097;190.616;833.398;17.807;9882.80;514590.00;560.50
2014;10;K;120;2;42;59.7829;6205.464;2.072;99.268;5525.010;1490.380;168.947;747.615;13.049;8924.20;517990.00;636.40
2014;10;B;0;1;38.81;39.7527;6363.747;2.280;98.314;5446.680;1526.915;154.839;834.559;11.418;10171.00;515550.00;563.10
2014;10;B;0;2;28.16;42.6890;6641.068;2.609;122.146;5215.927;1650.925;181.394;767.122;14.706;9628.20;515880.00;585.70
2014;10;B;1;1;50.62;69.8573;6958.148;2.821;89.755;5004.860;1631.770;140.787;769.812;12.872;8620.20;516980.00;565.80
2014;10;B;1;2;30.5;61.7851;7255.544;2.542;136.027;5122.765;1740.666;178.463;802.954;27.641;9895.40;520130.00;503.40
2014;10;Cu;0;1;45.8;70.4788;7608.422;1.909;124.275;5063.755;1647.185;194.547;762.141;11.054;9339.60;520900.00;561.00
2014;10;Cu;0;2;45.26;55.4360;6745.745;1.923;89.874;5227.464;1548.504;163.262;784.406;9.223;9341.90;519020.00;484.50
2014;10;Cu;2;1;44.61;74.2743;7445.890;3.369;109.997;5396.244;1588.163;176.467;802.735;9.926;9289.30;513710.00;665.70
2014;10;Cu;2;2;28;74.1182;7725.213;2.369;162.693;5710.817;1737.396;203.645;896.630;12.522;10571.00;518410.00;707.30
2014;10;Mg;0;1;54.61;78.7500;7198.683;3.324;105.679;5772.757;1490.935;185.460;855.144;8.949;10267.00;506810.00;532.80
